0.270169	118.063951	1
\	3296.918945	4421.568848
118.063951	198.912091	1
\	3250.700439	4036.414551
207.422422	229.576298	1
\	3404.761963	3959.383789
233.831464	273.141086	1
\	3481.792725	4082.633057
275.842778	407.347648	1
\	3466.386719	4436.974609
407.347648	692.781434	1
\	3358.543457	4421.568848
696.158549	762.485094	1
\	3343.137451	4298.319336
762.485094	950.725501	1
\	3343.137451	4298.319336
954.035074	1154.162927	1
\	3373.949707	4236.694824
1168.076642	1201.307456	1
\	3497.198975	4082.633057
1211.506345	1259.799094	1
\	3558.823730	4267.506836
1281.277547	1372.324576	1
\	3481.792725	4344.538086
1384.887444	1433.315278	1
\	3435.574463	4344.538086
1442.906285	1472.219646	1
\	3420.168213	4098.039062
1479.041419	1649.315573	1
\	3528.011230	4390.756348
1649.585742	1898.006344	1
\	3512.605225	4406.162598
1906.719301	1966.088989	1
\	3512.605225	4359.943848
1972.100254	2034.982141	1
\	3435.574463	4113.445312
2042.952133	2195.530202	1
\	3466.386719	4252.101074
2293.061292	2311.230173	1
\	3635.854492	4082.633057
2323.860584	2336.423453	1
\	3574.229736	4252.101074
2370.194606	2391.200263	1
\	3543.417480	4005.602295
2412.273463	2428.416074	1
\	3682.072998	4098.039062
2476.506196	2488.731353	1
\	3882.353027	4452.380859
2493.324230	2510.142264	1
\	3574.229736	3943.977783
2543.170452	2550.532563	1
\	3805.322266	4205.882324
2582.277447	2590.585151	1
\	3450.980469	3928.571533
2619.155546	2634.420108	1
\	3743.697510	4128.851562
2670.757868	2684.266329	1
\	3974.790039	4313.725586
2720.536548	2734.180094	1
\	3620.448242	4036.414551
2735.868651	2757.414647	1
\	3728.291504	4051.820801
2816.784334	2836.304060	1
\	3435.574463	3943.977783
2842.855664	2862.037679	1
\	3743.697510	4113.445312
2924.446770	2937.009639	1
\	4067.227051	4344.538086
2942.007770	2950.653185	1
\	3805.322266	4190.476074
2959.906481	2994.353057	1
\	3605.042236	4036.414551
3019.546337	3026.233025	1
\	3666.666748	4051.820801
3087.021101	3092.897281	1
\	3882.353027	4205.882324
3109.174977	3115.523954	1
\	3682.072998	3943.977783
3182.863633	3193.940571	1
\	3928.571533	4144.257812
3285.460396	3298.631146	1
\	3635.854492	3913.165283
3439.727023	3452.424977	1
\	3789.916016	4082.633057
