0.090528	3.055317	1
\	4617.283691	4768.175781
8.735944	14.529731	1
\	4194.787598	4662.551270
16.543978	23.016724	1
\	4345.679199	4602.194824
49.564037	55.222032	1
\	4572.016602	4768.175781
66.311703	74.210264	1
\	4224.965820	4783.264648
101.278112	106.709788	1
\	4753.086426	5009.602051
107.796123	112.254623	1
\	4406.035645	4677.640625
115.762580	122.212694	1
\	4406.035645	4662.551270
135.520299	140.748286	1
\	4300.411621	4587.105469
147.967888	152.946924	1
\	4390.946289	4677.640625
193.933440	199.206692	1
\	4587.105469	4888.889160
201.899897	206.765773	1
\	4466.392090	4677.640625
230.031449	235.508388	1
\	4255.144043	4587.105469
235.508388	239.220033	1
\	4572.016602	4964.334473
273.258532	279.391798	1
\	4255.144043	4753.086426
309.062325	315.014536	1
\	4315.500977	4587.105469
331.400089	336.718605	1
\	4647.461914	4903.978027
343.576095	349.460410	1
\	4315.500977	4722.908203
360.165336	362.089055	1
\	4345.679199	4798.354004
364.012773	367.860210	1
\	4692.729980	5145.404785
368.267585	377.727753	1
\	4255.144043	4828.532227
380.307799	390.469558	1
\	4315.500977	4843.621582
423.466986	429.373933	1
\	4058.984863	4511.659668
455.581766	466.354589	1
\	4406.035645	4737.997559
477.195307	483.486998	1
\	4285.322266	4753.086426
518.973943	524.269827	1
\	4179.698242	4556.927246
560.390467	569.262204	1
\	4406.035645	4798.354004
622.153142	626.860594	1
\	4375.857422	4662.551270
631.590678	654.154762	1
\	4330.589844	4647.461914
661.532788	663.931778	1
\	4511.659668	4753.086426
671.309803	677.397806	1
\	4300.411621	4602.194824
700.029786	703.741431	1
\	4888.889160	5085.047852
713.835295	719.538554	1
\	4089.163086	4556.927246
771.184733	777.861167	1
\	4285.322266	4813.443359
814.185496	819.096636	1
\	4330.589844	4662.551270
853.067238	863.274261	1
\	4421.125000	4753.086426
865.876939	872.236526	1
\	4089.163086	4421.125000
900.119125	905.958176	1
\	4406.035645	4647.461914
917.658910	923.294273	1
\	4300.411621	4587.105469
969.282458	975.506252	1
\	4240.055176	4496.570801
1025.296609	1031.339348	1
\	4209.876465	4496.570801
1048.087013	1053.790273	1
\	4300.411621	4647.461914
1066.690501	1073.072720	1
\	4255.144043	4783.264648
1085.723997	1091.381992	1
\	4119.341309	4481.481445
1101.000584	1106.477523	1
\	4148.571289	4572.857422
1154.344162	1160.635852	1
\	4211.428711	4620.000000
1162.491674	1166.882279	1
\	4101.428711	4604.285645
1187.839493	1196.462277	1
\	4352.856934	4855.714355
1258.383376	1264.109267	1
\	4211.428711	4572.857422
1270.740437	1277.711087	1
\	4227.143066	4698.571289
1297.695126	1303.262593	1
\	4085.714355	4510.000000
1313.379088	1316.977573	1
\	4415.714355	4792.856934
1375.798090	1381.614509	1
\	4274.285645	4557.143066
1383.628755	1387.974095	1
\	4510.000000	4792.856934
1397.932167	1402.458563	1
\	4274.285645	4635.714355
1436.859173	1442.743488	1
\	4085.714355	4510.000000
1469.652913	1475.401436	1
\	4132.856934	4462.856934
1495.294947	1500.500302	1
\	4148.571289	4588.571777
1577.811147	1579.712234	1
\	4478.571289	4792.856934
1603.385285	1607.911681	1
\	4305.714355	4714.285645
1627.510976	1632.829492	1
\	4211.428711	4525.714355
1639.868038	1646.702896	1
\	4117.143066	4902.857422
1697.851171	1703.916542	1
\	4195.714355	4572.857422
1717.088355	1721.546855	1
